"DATE","TIME PERIOD","Base money (ILM.M.U2.C.LT00001.Z5.EUR)"
"1999-02-28","1999Feb","426644"
"1999-03-31","1999Mar","430515"
"1999-04-30","1999Apr","432341"
"1999-05-31","1999May","435509"
"1999-06-30","1999Jun","439559"
"1999-07-31","1999Jul","445598"
"1999-08-31","1999Aug","449359"
"1999-09-30","1999Sep","446010"
"1999-10-31","1999Oct","446653"
"1999-11-30","1999Nov","447618"
"1999-12-31","1999Dec","460847"
"2000-01-31","2000Jan","472261"
"2000-02-29","2000Feb","455862"
"2000-03-31","2000Mar","456443"
"2000-04-30","2000Apr","460286"
"2000-05-31","2000May","468184"
"2000-06-30","2000Jun","469067"
"2000-07-31","2000Jul","471728"
"2000-08-31","2000Aug","471889"
"2000-09-30","2000Sep","468316"
"2000-10-31","2000Oct","469089"
"2000-11-30","2000Nov","468602"
"2000-12-31","2000Dec","478001"
"2001-01-31","2001Jan","488025"
"2001-02-28","2001Feb","475954"
"2001-03-31","2001Mar","474515"
"2001-04-30","2001Apr","476427"
"2001-05-31","2001May","478051"
"2001-06-30","2001Jun","477251"
"2001-07-31","2001Jul","478320"
"2001-08-31","2001Aug","475596"
"2001-09-30","2001Sep","461883"
"2001-10-31","2001Oct","450385"
"2001-11-30","2001Nov","438292"
"2001-12-31","2001Dec","426215"
"2002-01-31","2002Jan","475201"
"2002-02-28","2002Feb","438804"
"2002-03-31","2002Mar","415566"
"2002-04-30","2002Apr","417317"
"2002-05-31","2002May","425636"
"2002-06-30","2002Jun","433017"
"2002-07-31","2002Jul","444957"
"2002-08-31","2002Aug","452785"
"2002-09-30","2002Sep","453421"
"2002-10-31","2002Oct","457613"
"2002-11-30","2002Nov","463416"
"2002-12-31","2002Dec","480453"
"2003-01-31","2003Jan","485761"
"2003-02-28","2003Feb","472153"
"2003-03-31","2003Mar","477515"
"2003-04-30","2003Apr","489342"
"2003-05-31","2003May","497303"
"2003-06-30","2003Jun","505317"
"2003-07-31","2003Jul","515188"
"2003-08-31","2003Aug","524568"
"2003-09-30","2003Sep","524244"
"2003-10-31","2003Oct","527537"
"2003-11-30","2003Nov","531415"
"2003-12-31","2003Dec","548711"
"2004-01-31","2004Jan","561350"
"2004-03-31","2004Mar","552309"
"2004-04-30","2004Apr","560990"
"2004-05-31","2004May","571496"
"2004-06-30","2004Jun","580089"
"2004-07-31","2004Jul","588052"
"2004-08-31","2004Aug","600082"
"2004-09-30","2004Sep","602285"
"2004-10-31","2004Oct","604422"
"2004-11-30","2004Nov","608441"
"2004-12-31","2004Dec","614084"
"2005-01-31","2005Jan","635205"
"2005-02-28","2005Feb","627198"
"2005-03-31","2005Mar","630917"
"2005-04-30","2005Apr","642042"
"2005-05-31","2005May","649685"
"2005-06-30","2005Jun","658470"
"2005-07-31","2005Jul","670640"
"2005-08-31","2005Aug","682676"
"2005-09-30","2005Sep","681834"
"2005-10-31","2005Oct","683139"
"2005-11-30","2005Nov","685961"
"2005-12-31","2005Dec","692918"
"2006-01-31","2006Jan","713312"
"2006-02-28","2006Feb","703865"
"2006-03-31","2006Mar","709223"
"2006-04-30","2006Apr","716217"
"2006-05-31","2006May","730499"
"2006-06-30","2006Jun","735411"
"2006-07-31","2006Jul","745722"
"2006-08-31","2006Aug","755411"
"2006-09-30","2006Sep","755179"
"2006-10-31","2006Oct","755745"
"2006-11-30","2006Nov","759833"
"2006-12-31","2006Dec","771805"
"2007-01-31","2007Jan","794911"
"2007-02-28","2007Feb","781179"
"2007-03-31","2007Mar","787231"
"2007-04-30","2007Apr","797746"
"2007-05-31","2007May","803766"
"2007-06-30","2007Jun","811720"
"2007-07-31","2007Jul","821214"
"2007-08-31","2007Aug","832071"
"2007-09-30","2007Sep","832383"
"2007-10-31","2007Oct","832256"
"2007-11-30","2007Nov","835095"
"2007-12-31","2007Dec","841899"
"2008-01-31","2008Jan","870184"
"2008-02-29","2008Feb","854490"
"2008-03-31","2008Mar","858734"
"2008-04-30","2008Apr","870291"
"2008-05-31","2008May","876567"
"2008-06-30","2008Jun","879685"
"2008-07-31","2008Jul","890260"
"2008-08-31","2008Aug","901189"
"2008-09-30","2008Sep","899514"
"2008-10-31","2008Oct","921021"
"2008-11-30","2008Nov","1154417"
"2008-12-31","2008Dec","1150668"
"2009-01-31","2009Jan","1213077"
"2009-02-28","2009Feb","1137721"
"2009-03-31","2009Mar","1055540"
"2009-04-30","2009Apr","1026643"
"2009-05-31","2009May","1021015"
"2009-06-30","2009Jun","999984"
"2009-07-31","2009Jul","1102021"
"2009-08-31","2009Aug","1172804"
"2009-09-30","2009Sep","1122684"
