"","date","series_id","value","realtime_start","realtime_end"
"1",1991-01-01,"GGNLBAEZA188N",-4.582,2023-11-19,2023-11-19
"2",1992-01-01,"GGNLBAEZA188N",-4.673,2023-11-19,2023-11-19
"3",1993-01-01,"GGNLBAEZA188N",-5.453,2023-11-19,2023-11-19
"4",1994-01-01,"GGNLBAEZA188N",-4.963,2023-11-19,2023-11-19
"5",1995-01-01,"GGNLBAEZA188N",-4.979,2023-11-19,2023-11-19
"6",1996-01-01,"GGNLBAEZA188N",-4.247,2023-11-19,2023-11-19
"7",1997-01-01,"GGNLBAEZA188N",-2.74,2023-11-19,2023-11-19
"8",1998-01-01,"GGNLBAEZA188N",-2.282,2023-11-19,2023-11-19
"9",1999-01-01,"GGNLBAEZA188N",-1.411,2023-11-19,2023-11-19
"10",2000-01-01,"GGNLBAEZA188N",-0.032,2023-11-19,2023-11-19
"11",2001-01-01,"GGNLBAEZA188N",-1.856,2023-11-19,2023-11-19
"12",2002-01-01,"GGNLBAEZA188N",-2.584,2023-11-19,2023-11-19
"13",2003-01-01,"GGNLBAEZA188N",-3.079,2023-11-19,2023-11-19
"14",2004-01-01,"GGNLBAEZA188N",-2.936,2023-11-19,2023-11-19
"15",2005-01-01,"GGNLBAEZA188N",-2.521,2023-11-19,2023-11-19
"16",2006-01-01,"GGNLBAEZA188N",-1.365,2023-11-19,2023-11-19
"17",2007-01-01,"GGNLBAEZA188N",-0.666,2023-11-19,2023-11-19
"18",2008-01-01,"GGNLBAEZA188N",-2.045,2023-11-19,2023-11-19
"19",2009-01-01,"GGNLBAEZA188N",-6.343,2023-11-19,2023-11-19
"20",2010-01-01,"GGNLBAEZA188N",-6.003,2023-11-19,2023-11-19
