"","date","series_id","value","realtime_start","realtime_end"
"1",1929-01-01,"FYFSGDA188S",0.70202,2023-11-18,2023-11-18
"2",1930-01-01,"FYFSGDA188S",0.80078,2023-11-18,2023-11-18
"3",1931-01-01,"FYFSGDA188S",-0.59697,2023-11-18,2023-11-18
"4",1932-01-01,"FYFSGDA188S",-4.59494,2023-11-18,2023-11-18
"5",1933-01-01,"FYFSGDA188S",-4.55261,2023-11-18,2023-11-18
"6",1934-01-01,"FYFSGDA188S",-5.36826,2023-11-18,2023-11-18
"7",1935-01-01,"FYFSGDA188S",-3.77554,2023-11-18,2023-11-18
"8",1936-01-01,"FYFSGDA188S",-5.07368,2023-11-18,2023-11-18
"9",1937-01-01,"FYFSGDA188S",-2.35799,2023-11-18,2023-11-18
"10",1938-01-01,"FYFSGDA188S",-0.10189,2023-11-18,2023-11-18
"11",1939-01-01,"FYFSGDA188S",-3.0459,2023-11-18,2023-11-18
"12",1940-01-01,"FYFSGDA188S",-2.83773,2023-11-18,2023-11-18
"13",1941-01-01,"FYFSGDA188S",-3.82108,2023-11-18,2023-11-18
"14",1942-01-01,"FYFSGDA188S",-12.35478,2023-11-18,2023-11-18
"15",1943-01-01,"FYFSGDA188S",-26.86278,2023-11-18,2023-11-18
"16",1944-01-01,"FYFSGDA188S",-21.18852,2023-11-18,2023-11-18
"17",1945-01-01,"FYFSGDA188S",-20.85594,2023-11-18,2023-11-18
"18",1946-01-01,"FYFSGDA188S",-7.00376,2023-11-18,2023-11-18
"19",1947-01-01,"FYFSGDA188S",1.60967,2023-11-18,2023-11-18
"20",1948-01-01,"FYFSGDA188S",4.29777,2023-11-18,2023-11-18
"21",1949-01-01,"FYFSGDA188S",0.21286,2023-11-18,2023-11-18
"22",1950-01-01,"FYFSGDA188S",-1.04027,2023-11-18,2023-11-18
"23",1951-01-01,"FYFSGDA188S",1.75894,2023-11-18,2023-11-18
"24",1952-01-01,"FYFSGDA188S",-0.41351,2023-11-18,2023-11-18
"25",1953-01-01,"FYFSGDA188S",-1.66822,2023-11-18,2023-11-18
"26",1954-01-01,"FYFSGDA188S",-0.29548,2023-11-18,2023-11-18
"27",1955-01-01,"FYFSGDA188S",-0.70344,2023-11-18,2023-11-18
"28",1956-01-01,"FYFSGDA188S",0.87837,2023-11-18,2023-11-18
"29",1957-01-01,"FYFSGDA188S",0.71977,2023-11-18,2023-11-18
"30",1958-01-01,"FYFSGDA188S",-0.5754,2023-11-18,2023-11-18
"31",1959-01-01,"FYFSGDA188S",-2.46313,2023-11-18,2023-11-18
"32",1960-01-01,"FYFSGDA188S",0.0555,2023-11-18,2023-11-18
"33",1961-01-01,"FYFSGDA188S",-0.5932,2023-11-18,2023-11-18
"34",1962-01-01,"FYFSGDA188S",-1.18327,2023-11-18,2023-11-18
"35",1963-01-01,"FYFSGDA188S",-0.7461,2023-11-18,2023-11-18
"36",1964-01-01,"FYFSGDA188S",-0.86418,2023-11-18,2023-11-18
"37",1965-01-01,"FYFSGDA188S",-0.19009,2023-11-18,2023-11-18
"38",1966-01-01,"FYFSGDA188S",-0.45463,2023-11-18,2023-11-18
"39",1967-01-01,"FYFSGDA188S",-1.00505,2023-11-18,2023-11-18
"40",1968-01-01,"FYFSGDA188S",-2.67485,2023-11-18,2023-11-18
"41",1969-01-01,"FYFSGDA188S",0.31859,2023-11-18,2023-11-18
"42",1970-01-01,"FYFSGDA188S",-0.26479,2023-11-18,2023-11-18
"43",1971-01-01,"FYFSGDA188S",-1.97734,2023-11-18,2023-11-18
"44",1972-01-01,"FYFSGDA188S",-1.82729,2023-11-18,2023-11-18
"45",1973-01-01,"FYFSGDA188S",-1.0459,2023-11-18,2023-11-18
"46",1974-01-01,"FYFSGDA188S",-0.39702,2023-11-18,2023-11-18
"47",1975-01-01,"FYFSGDA188S",-3.15994,2023-11-18,2023-11-18
"48",1976-01-01,"FYFSGDA188S",-3.93571,2023-11-18,2023-11-18
"49",1977-01-01,"FYFSGDA188S",-2.5775,2023-11-18,2023-11-18
"50",1978-01-01,"FYFSGDA188S",-2.5168,2023-11-18,2023-11-18
"51",1979-01-01,"FYFSGDA188S",-1.55009,2023-11-18,2023-11-18
"52",1980-01-01,"FYFSGDA188S",-2.5839,2023-11-18,2023-11-18
"53",1981-01-01,"FYFSGDA188S",-2.46233,2023-11-18,2023-11-18
