"","date","series_id","value","realtime_start","realtime_end"
"1",1998-01-01,"LFEMTTTTEZA647S",120481000,2023-11-23,2023-11-23
"2",1999-01-01,"LFEMTTTTEZA647S",123042800,2023-11-23,2023-11-23
"3",2000-01-01,"LFEMTTTTEZA647S",125694600,2023-11-23,2023-11-23
"4",2001-01-01,"LFEMTTTTEZA647S",127882800,2023-11-23,2023-11-23
"5",2002-01-01,"LFEMTTTTEZA647S",129041000,2023-11-23,2023-11-23
"6",2003-01-01,"LFEMTTTTEZA647S",133837000,2023-11-23,2023-11-23
"7",2004-01-01,"LFEMTTTTEZA647S",134593000,2023-11-23,2023-11-23
"8",2005-01-01,"LFEMTTTTEZA647S",139494350,2023-11-23,2023-11-23
"9",2006-01-01,"LFEMTTTTEZA647S",142236525,2023-11-23,2023-11-23
"10",2007-01-01,"LFEMTTTTEZA647S",145152350,2023-11-23,2023-11-23
"11",2008-01-01,"LFEMTTTTEZA647S",146612650,2023-11-23,2023-11-23
"12",2009-01-01,"LFEMTTTTEZA647S",143659525,2023-11-23,2023-11-23
"13",2010-01-01,"LFEMTTTTEZA647S",142157450,2023-11-23,2023-11-23
"14",2011-01-01,"LFEMTTTTEZA647S",142330325,2023-11-23,2023-11-23
"15",2012-01-01,"LFEMTTTTEZA647S",141498550,2023-11-23,2023-11-23
"16",2013-01-01,"LFEMTTTTEZA647S",140728200,2023-11-23,2023-11-23
"17",2014-01-01,"LFEMTTTTEZA647S",142137525,2023-11-23,2023-11-23
"18",2015-01-01,"LFEMTTTTEZA647S",143669175,2023-11-23,2023-11-23
"19",2016-01-01,"LFEMTTTTEZA647S",146167050,2023-11-23,2023-11-23
"20",2017-01-01,"LFEMTTTTEZA647S",148250400,2023-11-23,2023-11-23
"21",2018-01-01,"LFEMTTTTEZA647S",150245175,2023-11-23,2023-11-23
"22",2019-01-01,"LFEMTTTTEZA647S",152026100,2023-11-23,2023-11-23
"23",2020-01-01,"LFEMTTTTEZA647S",149928525,2023-11-23,2023-11-23
"24",2021-01-01,"LFEMTTTTEZA647S",152810425,2023-11-23,2023-11-23
"25",2022-01-01,"LFEMTTTTEZA647S",157086675,2023-11-23,2023-11-23
