"","date","series_id","value","realtime_start","realtime_end"
"1",1955-01-01,"LFEMTTTTUSA647S",NA,2023-11-23,2023-11-23
"2",1956-01-01,"LFEMTTTTUSA647S",NA,2023-11-23,2023-11-23
"3",1957-01-01,"LFEMTTTTUSA647S",NA,2023-11-23,2023-11-23
"4",1958-01-01,"LFEMTTTTUSA647S",NA,2023-11-23,2023-11-23
"5",1959-01-01,"LFEMTTTTUSA647S",NA,2023-11-23,2023-11-23
"6",1960-01-01,"LFEMTTTTUSA647S",65776000,2023-11-23,2023-11-23
"7",1961-01-01,"LFEMTTTTUSA647S",65745416.6666666,2023-11-23,2023-11-23
"8",1962-01-01,"LFEMTTTTUSA647S",66702500,2023-11-23,2023-11-23
"9",1963-01-01,"LFEMTTTTUSA647S",67762833.3333334,2023-11-23,2023-11-23
"10",1964-01-01,"LFEMTTTTUSA647S",69304416.6666667,2023-11-23,2023-11-23
"11",1965-01-01,"LFEMTTTTUSA647S",71088083.3333333,2023-11-23,2023-11-23
"12",1966-01-01,"LFEMTTTTUSA647S",72898166.6666667,2023-11-23,2023-11-23
"13",1967-01-01,"LFEMTTTTUSA647S",74371583.3333334,2023-11-23,2023-11-23
"14",1968-01-01,"LFEMTTTTUSA647S",75920000,2023-11-23,2023-11-23
"15",1969-01-01,"LFEMTTTTUSA647S",77901666.6666667,2023-11-23,2023-11-23
"16",1970-01-01,"LFEMTTTTUSA647S",78678000,2023-11-23,2023-11-23
"17",1971-01-01,"LFEMTTTTUSA647S",79366500,2023-11-23,2023-11-23
"18",1972-01-01,"LFEMTTTTUSA647S",82153000,2023-11-23,2023-11-23
"19",1973-01-01,"LFEMTTTTUSA647S",85064916.6666666,2023-11-23,2023-11-23
"20",1974-01-01,"LFEMTTTTUSA647S",86794916.6666667,2023-11-23,2023-11-23
"21",1975-01-01,"LFEMTTTTUSA647S",85847166.6666667,2023-11-23,2023-11-23
"22",1976-01-01,"LFEMTTTTUSA647S",88753166.6666667,2023-11-23,2023-11-23
"23",1977-01-01,"LFEMTTTTUSA647S",92017166.6666666,2023-11-23,2023-11-23
"24",1978-01-01,"LFEMTTTTUSA647S",96048750,2023-11-23,2023-11-23
"25",1979-01-01,"LFEMTTTTUSA647S",98826250,2023-11-23,2023-11-23
"26",1980-01-01,"LFEMTTTTUSA647S",99302750,2023-11-23,2023-11-23
"27",1981-01-01,"LFEMTTTTUSA647S",100397333.333333,2023-11-23,2023-11-23
"28",1982-01-01,"LFEMTTTTUSA647S",99526416.6666667,2023-11-23,2023-11-23
"29",1983-01-01,"LFEMTTTTUSA647S",100833583.333333,2023-11-23,2023-11-23
"30",1984-01-01,"LFEMTTTTUSA647S",105005333.333333,2023-11-23,2023-11-23
"31",1985-01-01,"LFEMTTTTUSA647S",107149833.333333,2023-11-23,2023-11-23
"32",1986-01-01,"LFEMTTTTUSA647S",109597500,2023-11-23,2023-11-23
"33",1987-01-01,"LFEMTTTTUSA647S",112440416.666667,2023-11-23,2023-11-23
"34",1988-01-01,"LFEMTTTTUSA647S",114968416.666667,2023-11-23,2023-11-23
"35",1989-01-01,"LFEMTTTTUSA647S",117325833.333333,2023-11-23,2023-11-23
"36",1990-01-01,"LFEMTTTTUSA647S",118793250,2023-11-23,2023-11-23
"37",1991-01-01,"LFEMTTTTUSA647S",117718333.333333,2023-11-23,2023-11-23
"38",1992-01-01,"LFEMTTTTUSA647S",118492000,2023-11-23,2023-11-23
"39",1993-01-01,"LFEMTTTTUSA647S",120259250,2023-11-23,2023-11-23
"40",1994-01-01,"LFEMTTTTUSA647S",123065166.666667,2023-11-23,2023-11-23
"41",1995-01-01,"LFEMTTTTUSA647S",124899666.666667,2023-11-23,2023-11-23
"42",1996-01-01,"LFEMTTTTUSA647S",126707500,2023-11-23,2023-11-23
"43",1997-01-01,"LFEMTTTTUSA647S",129557916.666667,2023-11-23,2023-11-23
"44",1998-01-01,"LFEMTTTTUSA647S",131463500,2023-11-23,2023-11-23
"45",1999-01-01,"LFEMTTTTUSA647S",133487916.666667,2023-11-23,2023-11-23
"46",2000-01-01,"LFEMTTTTUSA647S",136890750,2023-11-23,2023-11-23
"47",2001-01-01,"LFEMTTTTUSA647S",136933333.333333,2023-11-23,2023-11-23
"48",2002-01-01,"LFEMTTTTUSA647S",136485166.666667,2023-11-23,2023-11-23
"49",2003-01-01,"LFEMTTTTUSA647S",137735666.666667,2023-11-23,2023-11-23
"50",2004-01-01,"LFEMTTTTUSA647S",139251916.666667,2023-11-23,2023-11-23
"51",2005-01-01,"LFEMTTTTUSA647S",141729750,2023-11-23,2023-11-23
"52",2006-01-01,"LFEMTTTTUSA647S",144427000,2023-11-23,2023-11-23
"53",2007-01-01,"LFEMTTTTUSA647S",146046666.666667,2023-11-23,2023-11-23
"54",2008-01-01,"LFEMTTTTUSA647S",145362500,2023-11-23,2023-11-23
"55",2009-01-01,"LFEMTTTTUSA647S",139877500,2023-11-23,2023-11-23
"56",2010-01-01,"LFEMTTTTUSA647S",139063916.666667,2023-11-23,2023-11-23
"57",2011-01-01,"LFEMTTTTUSA647S",139869250,2023-11-23,2023-11-23
"58",2012-01-01,"LFEMTTTTUSA647S",142469083.333333,2023-11-23,2023-11-23
"59",2013-01-01,"LFEMTTTTUSA647S",143929333.333333,2023-11-23,2023-11-23
"60",2014-01-01,"LFEMTTTTUSA647S",146305333.333333,2023-11-23,2023-11-23
"61",2015-01-01,"LFEMTTTTUSA647S",148833416.666667,2023-11-23,2023-11-23
"62",2016-01-01,"LFEMTTTTUSA647S",151435833.333333,2023-11-23,2023-11-23
"63",2017-01-01,"LFEMTTTTUSA647S",153337416.666667,2023-11-23,2023-11-23
"64",2018-01-01,"LFEMTTTTUSA647S",155761000,2023-11-23,2023-11-23
"65",2019-01-01,"LFEMTTTTUSA647S",157538083.333333,2023-11-23,2023-11-23
"66",2020-01-01,"LFEMTTTTUSA647S",147794750,2023-11-23,2023-11-23
"67",2021-01-01,"LFEMTTTTUSA647S",152580666.666667,2023-11-23,2023-11-23
"68",2022-01-01,"LFEMTTTTUSA647S",158291083.333333,2023-11-23,2023-11-23
