"","date","series_id","value","realtime_start","realtime_end"
"1",1995-01-01,"CPMEURNSAB1GQEA19",1376322.6,2023-11-20,2023-11-20
"2",1995-04-01,"CPMEURNSAB1GQEA19",1423945.6,2023-11-20,2023-11-20
"3",1995-07-01,"CPMEURNSAB1GQEA19",1427450.8,2023-11-20,2023-11-20
"4",1995-10-01,"CPMEURNSAB1GQEA19",1513282,2023-11-20,2023-11-20
"5",1996-01-01,"CPMEURNSAB1GQEA19",1440817.7,2023-11-20,2023-11-20
"6",1996-04-01,"CPMEURNSAB1GQEA19",1490460.1,2023-11-20,2023-11-20
"7",1996-07-01,"CPMEURNSAB1GQEA19",1489603.5,2023-11-20,2023-11-20
"8",1996-10-01,"CPMEURNSAB1GQEA19",1563916.2,2023-11-20,2023-11-20
"9",1997-01-01,"CPMEURNSAB1GQEA19",1459325.8,2023-11-20,2023-11-20
"10",1997-04-01,"CPMEURNSAB1GQEA19",1529310.8,2023-11-20,2023-11-20
"11",1997-07-01,"CPMEURNSAB1GQEA19",1521575.7,2023-11-20,2023-11-20
"12",1997-10-01,"CPMEURNSAB1GQEA19",1619144.9,2023-11-20,2023-11-20
"13",1998-01-01,"CPMEURNSAB1GQEA19",1526579.4,2023-11-20,2023-11-20
"14",1998-04-01,"CPMEURNSAB1GQEA19",1583624.5,2023-11-20,2023-11-20
"15",1998-07-01,"CPMEURNSAB1GQEA19",1585673.8,2023-11-20,2023-11-20
"16",1998-10-01,"CPMEURNSAB1GQEA19",1683702,2023-11-20,2023-11-20
"17",1999-01-01,"CPMEURNSAB1GQEA19",1594185,2023-11-20,2023-11-20
"18",1999-04-01,"CPMEURNSAB1GQEA19",1654572.8,2023-11-20,2023-11-20
"19",1999-07-01,"CPMEURNSAB1GQEA19",1657183.3,2023-11-20,2023-11-20
"20",1999-10-01,"CPMEURNSAB1GQEA19",1765505.4,2023-11-20,2023-11-20
"21",2000-01-01,"CPMEURNSAB1GQEA19",1688970.1,2023-11-20,2023-11-20
"22",2000-04-01,"CPMEURNSAB1GQEA19",1744935.5,2023-11-20,2023-11-20
"23",2000-07-01,"CPMEURNSAB1GQEA19",1741117.4,2023-11-20,2023-11-20
"24",2000-10-01,"CPMEURNSAB1GQEA19",1847502.5,2023-11-20,2023-11-20
"25",2001-01-01,"CPMEURNSAB1GQEA19",1776593.3,2023-11-20,2023-11-20
"26",2001-04-01,"CPMEURNSAB1GQEA19",1828897.1,2023-11-20,2023-11-20
"27",2001-07-01,"CPMEURNSAB1GQEA19",1819150.4,2023-11-20,2023-11-20
"28",2001-10-01,"CPMEURNSAB1GQEA19",1927154.1,2023-11-20,2023-11-20
"29",2002-01-01,"CPMEURNSAB1GQEA19",1825331.4,2023-11-20,2023-11-20
"30",2002-04-01,"CPMEURNSAB1GQEA19",1893951.2,2023-11-20,2023-11-20
"31",2002-07-01,"CPMEURNSAB1GQEA19",1892985.5,2023-11-20,2023-11-20
"32",2002-10-01,"CPMEURNSAB1GQEA19",1988473.7,2023-11-20,2023-11-20
"33",2003-01-01,"CPMEURNSAB1GQEA19",1880375.8,2023-11-20,2023-11-20
"34",2003-04-01,"CPMEURNSAB1GQEA19",1940409.5,2023-11-20,2023-11-20
"35",2003-07-01,"CPMEURNSAB1GQEA19",1946034.3,2023-11-20,2023-11-20
"36",2003-10-01,"CPMEURNSAB1GQEA19",2053514.7,2023-11-20,2023-11-20
"37",2004-01-01,"CPMEURNSAB1GQEA19",1960189.4,2023-11-20,2023-11-20
"38",2004-04-01,"CPMEURNSAB1GQEA19",2036204.5,2023-11-20,2023-11-20
"39",2004-07-01,"CPMEURNSAB1GQEA19",2021728.8,2023-11-20,2023-11-20
"40",2004-10-01,"CPMEURNSAB1GQEA19",2135335.4,2023-11-20,2023-11-20
"41",2005-01-01,"CPMEURNSAB1GQEA19",2019628.6,2023-11-20,2023-11-20
"42",2005-04-01,"CPMEURNSAB1GQEA19",2113933.7,2023-11-20,2023-11-20
"43",2005-07-01,"CPMEURNSAB1GQEA19",2092847.5,2023-11-20,2023-11-20
"44",2005-10-01,"CPMEURNSAB1GQEA19",2218114.2,2023-11-20,2023-11-20
"45",2006-01-01,"CPMEURNSAB1GQEA19",2129593.5,2023-11-20,2023-11-20
"46",2006-04-01,"CPMEURNSAB1GQEA19",2216573.6,2023-11-20,2023-11-20
"47",2006-07-01,"CPMEURNSAB1GQEA19",2201219.5,2023-11-20,2023-11-20
"48",2006-10-01,"CPMEURNSAB1GQEA19",2345801.4,2023-11-20,2023-11-20
"49",2007-01-01,"CPMEURNSAB1GQEA19",2258356.4,2023-11-20,2023-11-20
"50",2007-04-01,"CPMEURNSAB1GQEA19",2339908.5,2023-11-20,2023-11-20
"51",2007-07-01,"CPMEURNSAB1GQEA19",2323733.3,2023-11-20,2023-11-20
"52",2007-10-01,"CPMEURNSAB1GQEA19",2464835,2023-11-20,2023-11-20
"53",2008-01-01,"CPMEURNSAB1GQEA19",2346158.7,2023-11-20,2023-11-20
