"","date","series_id","value","realtime_start","realtime_end"
"1",1929-01-01,"GDPA",104.556,2023-11-20,2023-11-20
"2",1930-01-01,"GDPA",92.16,2023-11-20,2023-11-20
"3",1931-01-01,"GDPA",77.391,2023-11-20,2023-11-20
"4",1932-01-01,"GDPA",59.522,2023-11-20,2023-11-20
"5",1933-01-01,"GDPA",57.154,2023-11-20,2023-11-20
"6",1934-01-01,"GDPA",66.8,2023-11-20,2023-11-20
"7",1935-01-01,"GDPA",74.241,2023-11-20,2023-11-20
"8",1936-01-01,"GDPA",84.83,2023-11-20,2023-11-20
"9",1937-01-01,"GDPA",93.003,2023-11-20,2023-11-20
"10",1938-01-01,"GDPA",87.352,2023-11-20,2023-11-20
"11",1939-01-01,"GDPA",93.437,2023-11-20,2023-11-20
"12",1940-01-01,"GDPA",102.899,2023-11-20,2023-11-20
"13",1941-01-01,"GDPA",129.309,2023-11-20,2023-11-20
"14",1942-01-01,"GDPA",165.952,2023-11-20,2023-11-20
"15",1943-01-01,"GDPA",203.084,2023-11-20,2023-11-20
"16",1944-01-01,"GDPA",224.447,2023-11-20,2023-11-20
"17",1945-01-01,"GDPA",228.007,2023-11-20,2023-11-20
"18",1946-01-01,"GDPA",227.535,2023-11-20,2023-11-20
"19",1947-01-01,"GDPA",249.616,2023-11-20,2023-11-20
"20",1948-01-01,"GDPA",274.468,2023-11-20,2023-11-20
"21",1949-01-01,"GDPA",272.475,2023-11-20,2023-11-20
"22",1950-01-01,"GDPA",299.827,2023-11-20,2023-11-20
"23",1951-01-01,"GDPA",346.914,2023-11-20,2023-11-20
"24",1952-01-01,"GDPA",367.341,2023-11-20,2023-11-20
"25",1953-01-01,"GDPA",389.218,2023-11-20,2023-11-20
"26",1954-01-01,"GDPA",390.549,2023-11-20,2023-11-20
"27",1955-01-01,"GDPA",425.478,2023-11-20,2023-11-20
"28",1956-01-01,"GDPA",449.353,2023-11-20,2023-11-20
"29",1957-01-01,"GDPA",474.039,2023-11-20,2023-11-20
"30",1958-01-01,"GDPA",481.229,2023-11-20,2023-11-20
"31",1959-01-01,"GDPA",521.654,2023-11-20,2023-11-20
"32",1960-01-01,"GDPA",542.382,2023-11-20,2023-11-20
"33",1961-01-01,"GDPA",562.209,2023-11-20,2023-11-20
"34",1962-01-01,"GDPA",603.922,2023-11-20,2023-11-20
"35",1963-01-01,"GDPA",637.45,2023-11-20,2023-11-20
"36",1964-01-01,"GDPA",684.46,2023-11-20,2023-11-20
"37",1965-01-01,"GDPA",742.289,2023-11-20,2023-11-20
"38",1966-01-01,"GDPA",813.414,2023-11-20,2023-11-20
"39",1967-01-01,"GDPA",859.959,2023-11-20,2023-11-20
"40",1968-01-01,"GDPA",940.651,2023-11-20,2023-11-20
"41",1969-01-01,"GDPA",1017.615,2023-11-20,2023-11-20
"42",1970-01-01,"GDPA",1073.303,2023-11-20,2023-11-20
"43",1971-01-01,"GDPA",1164.85,2023-11-20,2023-11-20
"44",1972-01-01,"GDPA",1279.11,2023-11-20,2023-11-20
"45",1973-01-01,"GDPA",1425.376,2023-11-20,2023-11-20
"46",1974-01-01,"GDPA",1545.243,2023-11-20,2023-11-20
"47",1975-01-01,"GDPA",1684.904,2023-11-20,2023-11-20
"48",1976-01-01,"GDPA",1873.412,2023-11-20,2023-11-20
"49",1977-01-01,"GDPA",2081.826,2023-11-20,2023-11-20
"50",1978-01-01,"GDPA",2351.599,2023-11-20,2023-11-20
"51",1979-01-01,"GDPA",2627.333,2023-11-20,2023-11-20
"52",1980-01-01,"GDPA",2857.307,2023-11-20,2023-11-20
"53",1981-01-01,"GDPA",3207.041,2023-11-20,2023-11-20
"54",1982-01-01,"GDPA",3343.789,2023-11-20,2023-11-20
"55",1983-01-01,"GDPA",3634.038,2023-11-20,2023-11-20
"56",1984-01-01,"GDPA",4037.613,2023-11-20,2023-11-20
"57",1985-01-01,"GDPA",4338.979,2023-11-20,2023-11-20
"58",1986-01-01,"GDPA",4579.631,2023-11-20,2023-11-20
"59",1987-01-01,"GDPA",4855.215,2023-11-20,2023-11-20
