DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2013,-3.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2014,-2.5,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2015,-2.0,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2016,-1.5,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2017,-0.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2018,-0.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2019,-0.6,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2020,-7.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2021,-5.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,PC_GDP,S13,B9,EA19,2022,-3.6,
