"","date","series_id","value","realtime_start","realtime_end"
"1",1919-01-01,"INDPRO",4.8665,2023-11-09,2023-11-09
"2",1919-02-01,"INDPRO",4.6514,2023-11-09,2023-11-09
"3",1919-03-01,"INDPRO",4.517,2023-11-09,2023-11-09
"4",1919-04-01,"INDPRO",4.5976,2023-11-09,2023-11-09
"5",1919-05-01,"INDPRO",4.6245,2023-11-09,2023-11-09
"6",1919-06-01,"INDPRO",4.9203,2023-11-09,2023-11-09
"7",1919-07-01,"INDPRO",5.216,2023-11-09,2023-11-09
"8",1919-08-01,"INDPRO",5.2967,2023-11-09,2023-11-09
"9",1919-09-01,"INDPRO",5.1891,2023-11-09,2023-11-09
"10",1919-10-01,"INDPRO",5.1354,2023-11-09,2023-11-09
"11",1919-11-01,"INDPRO",5.0547,2023-11-09,2023-11-09
"12",1919-12-01,"INDPRO",5.1354,2023-11-09,2023-11-09
"13",1920-01-01,"INDPRO",5.6193,2023-11-09,2023-11-09
"14",1920-02-01,"INDPRO",5.6193,2023-11-09,2023-11-09
"15",1920-03-01,"INDPRO",5.5118,2023-11-09,2023-11-09
"16",1920-04-01,"INDPRO",5.216,2023-11-09,2023-11-09
"17",1920-05-01,"INDPRO",5.3505,2023-11-09,2023-11-09
"18",1920-06-01,"INDPRO",5.4042,2023-11-09,2023-11-09
"19",1920-07-01,"INDPRO",5.2698,2023-11-09,2023-11-09
"20",1920-08-01,"INDPRO",5.2967,2023-11-09,2023-11-09
"21",1920-09-01,"INDPRO",5.1085,2023-11-09,2023-11-09
"22",1920-10-01,"INDPRO",4.8934,2023-11-09,2023-11-09
"23",1920-11-01,"INDPRO",4.4901,2023-11-09,2023-11-09
"24",1920-12-01,"INDPRO",4.2212,2023-11-09,2023-11-09
"25",1921-01-01,"INDPRO",3.9792,2023-11-09,2023-11-09
"26",1921-02-01,"INDPRO",3.8986,2023-11-09,2023-11-09
"27",1921-03-01,"INDPRO",3.791,2023-11-09,2023-11-09
"28",1921-04-01,"INDPRO",3.791,2023-11-09,2023-11-09
"29",1921-05-01,"INDPRO",3.8986,2023-11-09,2023-11-09
"30",1921-06-01,"INDPRO",3.8717,2023-11-09,2023-11-09
"31",1921-07-01,"INDPRO",3.8448,2023-11-09,2023-11-09
"32",1921-08-01,"INDPRO",3.9792,2023-11-09,2023-11-09
"33",1921-09-01,"INDPRO",4.0061,2023-11-09,2023-11-09
"34",1921-10-01,"INDPRO",4.2481,2023-11-09,2023-11-09
"35",1921-11-01,"INDPRO",4.1943,2023-11-09,2023-11-09
"36",1921-12-01,"INDPRO",4.1674,2023-11-09,2023-11-09
"37",1922-01-01,"INDPRO",4.3288,2023-11-09,2023-11-09
"38",1922-02-01,"INDPRO",4.517,2023-11-09,2023-11-09
"39",1922-03-01,"INDPRO",4.7589,2023-11-09,2023-11-09
"40",1922-04-01,"INDPRO",4.5976,2023-11-09,2023-11-09
"41",1922-05-01,"INDPRO",4.8396,2023-11-09,2023-11-09
"42",1922-06-01,"INDPRO",5.0816,2023-11-09,2023-11-09
"43",1922-07-01,"INDPRO",5.0816,2023-11-09,2023-11-09
"44",1922-08-01,"INDPRO",4.974,2023-11-09,2023-11-09
"45",1922-09-01,"INDPRO",5.2429,2023-11-09,2023-11-09
"46",1922-10-01,"INDPRO",5.5387,2023-11-09,2023-11-09
"47",1922-11-01,"INDPRO",5.7806,2023-11-09,2023-11-09
"48",1922-12-01,"INDPRO",5.942,2023-11-09,2023-11-09
"49",1923-01-01,"INDPRO",5.8075,2023-11-09,2023-11-09
"50",1923-02-01,"INDPRO",5.8882,2023-11-09,2023-11-09
"51",1923-03-01,"INDPRO",6.0764,2023-11-09,2023-11-09
"52",1923-04-01,"INDPRO",6.2108,2023-11-09,2023-11-09
"53",1923-05-01,"INDPRO",6.2915,2023-11-09,2023-11-09
"54",1923-06-01,"INDPRO",6.2377,2023-11-09,2023-11-09
"55",1923-07-01,"INDPRO",6.1839,2023-11-09,2023-11-09
"56",1923-08-01,"INDPRO",6.0764,2023-11-09,2023-11-09
"57",1923-09-01,"INDPRO",5.942,2023-11-09,2023-11-09
"58",1923-10-01,"INDPRO",5.9151,2023-11-09,2023-11-09
"59",1923-11-01,"INDPRO",5.9151,2023-11-09,2023-11-09
"60",1923-12-01,"INDPRO",5.7806,2023-11-09,2023-11-09
"61",1924-01-01,"INDPRO",5.9151,2023-11-09,2023-11-09
"62",1924-02-01,"INDPRO",6.0226,2023-11-09,2023-11-09
"63",1924-03-01,"INDPRO",5.9151,2023-11-09,2023-11-09
"64",1924-04-01,"INDPRO",5.7269,2023-11-09,2023-11-09
"65",1924-05-01,"INDPRO",5.4849,2023-11-09,2023-11-09
"66",1924-06-01,"INDPRO",5.2429,2023-11-09,2023-11-09
"67",1924-07-01,"INDPRO",5.1622,2023-11-09,2023-11-09
"68",1924-08-01,"INDPRO",5.3505,2023-11-09,2023-11-09
"69",1924-09-01,"INDPRO",5.5387,2023-11-09,2023-11-09
"70",1924-10-01,"INDPRO",5.6731,2023-11-09,2023-11-09
"71",1924-11-01,"INDPRO",5.7806,2023-11-09,2023-11-09
"72",1924-12-01,"INDPRO",5.942,2023-11-09,2023-11-09
"73",1925-01-01,"INDPRO",6.1302,2023-11-09,2023-11-09
"74",1925-02-01,"INDPRO",6.1302,2023-11-09,2023-11-09
"75",1925-03-01,"INDPRO",6.1302,2023-11-09,2023-11-09
"76",1925-04-01,"INDPRO",6.1839,2023-11-09,2023-11-09
"77",1925-05-01,"INDPRO",6.1571,2023-11-09,2023-11-09
"78",1925-06-01,"INDPRO",6.1033,2023-11-09,2023-11-09
"79",1925-07-01,"INDPRO",6.2646,2023-11-09,2023-11-09
"80",1925-08-01,"INDPRO",6.1571,2023-11-09,2023-11-09
"81",1925-09-01,"INDPRO",6.0764,2023-11-09,2023-11-09
"82",1925-10-01,"INDPRO",6.3184,2023-11-09,2023-11-09
"83",1925-11-01,"INDPRO",6.4528,2023-11-09,2023-11-09
"84",1925-12-01,"INDPRO",6.5335,2023-11-09,2023-11-09
"85",1926-01-01,"INDPRO",6.4259,2023-11-09,2023-11-09
"86",1926-02-01,"INDPRO",6.4259,2023-11-09,2023-11-09
"87",1926-03-01,"INDPRO",6.5066,2023-11-09,2023-11-09
"88",1926-04-01,"INDPRO",6.5066,2023-11-09,2023-11-09
"89",1926-05-01,"INDPRO",6.4528,2023-11-09,2023-11-09
"90",1926-06-01,"INDPRO",6.5335,2023-11-09,2023-11-09
"91",1926-07-01,"INDPRO",6.5604,2023-11-09,2023-11-09
"92",1926-08-01,"INDPRO",6.641,2023-11-09,2023-11-09
"93",1926-09-01,"INDPRO",6.7486,2023-11-09,2023-11-09
"94",1926-10-01,"INDPRO",6.7486,2023-11-09,2023-11-09
"95",1926-11-01,"INDPRO",6.7217,2023-11-09,2023-11-09
"96",1926-12-01,"INDPRO",6.6948,2023-11-09,2023-11-09
"97",1927-01-01,"INDPRO",6.6679,2023-11-09,2023-11-09
"98",1927-02-01,"INDPRO",6.7217,2023-11-09,2023-11-09
"99",1927-03-01,"INDPRO",6.8023,2023-11-09,2023-11-09
"100",1927-04-01,"INDPRO",6.641,2023-11-09,2023-11-09
"101",1927-05-01,"INDPRO",6.6948,2023-11-09,2023-11-09
"102",1927-06-01,"INDPRO",6.6679,2023-11-09,2023-11-09
"103",1927-07-01,"INDPRO",6.5872,2023-11-09,2023-11-09
"104",1927-08-01,"INDPRO",6.5872,2023-11-09,2023-11-09
"105",1927-09-01,"INDPRO",6.4797,2023-11-09,2023-11-09
"106",1927-10-01,"INDPRO",6.3453,2023-11-09,2023-11-09
"107",1927-11-01,"INDPRO",6.3453,2023-11-09,2023-11-09
"108",1927-12-01,"INDPRO",6.3722,2023-11-09,2023-11-09
