"","date","series_id","value","realtime_start","realtime_end"
"1",1959-01-01,"BOGMBASE",50500,2023-11-18,2023-11-18
"2",1959-02-01,"BOGMBASE",49800,2023-11-18,2023-11-18
"3",1959-03-01,"BOGMBASE",49700,2023-11-18,2023-11-18
"4",1959-04-01,"BOGMBASE",50100,2023-11-18,2023-11-18
"5",1959-05-01,"BOGMBASE",50100,2023-11-18,2023-11-18
"6",1959-06-01,"BOGMBASE",50300,2023-11-18,2023-11-18
"7",1959-07-01,"BOGMBASE",50800,2023-11-18,2023-11-18
"8",1959-08-01,"BOGMBASE",50700,2023-11-18,2023-11-18
"9",1959-09-01,"BOGMBASE",50700,2023-11-18,2023-11-18
"10",1959-10-01,"BOGMBASE",50700,2023-11-18,2023-11-18
"11",1959-11-01,"BOGMBASE",50900,2023-11-18,2023-11-18
"12",1959-12-01,"BOGMBASE",51500,2023-11-18,2023-11-18
"13",1960-01-01,"BOGMBASE",50700,2023-11-18,2023-11-18
"14",1960-02-01,"BOGMBASE",49600,2023-11-18,2023-11-18
"15",1960-03-01,"BOGMBASE",49500,2023-11-18,2023-11-18
"16",1960-04-01,"BOGMBASE",49700,2023-11-18,2023-11-18
"17",1960-05-01,"BOGMBASE",49700,2023-11-18,2023-11-18
"18",1960-06-01,"BOGMBASE",50000,2023-11-18,2023-11-18
"19",1960-07-01,"BOGMBASE",50500,2023-11-18,2023-11-18
"20",1960-08-01,"BOGMBASE",50300,2023-11-18,2023-11-18
"21",1960-09-01,"BOGMBASE",49900,2023-11-18,2023-11-18
"22",1960-10-01,"BOGMBASE",50100,2023-11-18,2023-11-18
"23",1960-11-01,"BOGMBASE",50300,2023-11-18,2023-11-18
"24",1960-12-01,"BOGMBASE",49800,2023-11-18,2023-11-18
"25",1961-01-01,"BOGMBASE",49100,2023-11-18,2023-11-18
"26",1961-02-01,"BOGMBASE",48400,2023-11-18,2023-11-18
"27",1961-03-01,"BOGMBASE",48400,2023-11-18,2023-11-18
"28",1961-04-01,"BOGMBASE",48500,2023-11-18,2023-11-18
"29",1961-05-01,"BOGMBASE",48500,2023-11-18,2023-11-18
"30",1961-06-01,"BOGMBASE",48900,2023-11-18,2023-11-18
"31",1961-07-01,"BOGMBASE",49200,2023-11-18,2023-11-18
"32",1961-08-01,"BOGMBASE",49300,2023-11-18,2023-11-18
"33",1961-09-01,"BOGMBASE",49600,2023-11-18,2023-11-18
"34",1961-10-01,"BOGMBASE",50000,2023-11-18,2023-11-18
"35",1961-11-01,"BOGMBASE",50500,2023-11-18,2023-11-18
"36",1961-12-01,"BOGMBASE",51300,2023-11-18,2023-11-18
"37",1962-01-01,"BOGMBASE",50600,2023-11-18,2023-11-18
"38",1962-02-01,"BOGMBASE",49800,2023-11-18,2023-11-18
"39",1962-03-01,"BOGMBASE",50000,2023-11-18,2023-11-18
"40",1962-04-01,"BOGMBASE",50400,2023-11-18,2023-11-18
"41",1962-05-01,"BOGMBASE",50500,2023-11-18,2023-11-18
