"","date","series_id","value","realtime_start","realtime_end"
"1",1918-01-01,"AMBNS",4.874,2023-11-18,2023-11-18
"2",1918-02-01,"AMBNS",4.834,2023-11-18,2023-11-18
"3",1918-03-01,"AMBNS",4.914,2023-11-18,2023-11-18
"4",1918-04-01,"AMBNS",4.993,2023-11-18,2023-11-18
"5",1918-05-01,"AMBNS",4.954,2023-11-18,2023-11-18
"6",1918-06-01,"AMBNS",5.022,2023-11-18,2023-11-18
"7",1918-07-01,"AMBNS",5.029,2023-11-18,2023-11-18
"8",1918-08-01,"AMBNS",5.168,2023-11-18,2023-11-18
"9",1918-09-01,"AMBNS",5.428,2023-11-18,2023-11-18
"10",1918-10-01,"AMBNS",5.654,2023-11-18,2023-11-18
"11",1918-11-01,"AMBNS",5.681,2023-11-18,2023-11-18
"12",1918-12-01,"AMBNS",5.792,2023-11-18,2023-11-18
"13",1919-01-01,"AMBNS",5.664,2023-11-18,2023-11-18
"14",1919-02-01,"AMBNS",5.539,2023-11-18,2023-11-18
"15",1919-03-01,"AMBNS",5.583,2023-11-18,2023-11-18
"16",1919-04-01,"AMBNS",5.612,2023-11-18,2023-11-18
"17",1919-05-01,"AMBNS",5.613,2023-11-18,2023-11-18
"18",1919-06-01,"AMBNS",5.577,2023-11-18,2023-11-18
"19",1919-07-01,"AMBNS",5.602,2023-11-18,2023-11-18
"20",1919-08-01,"AMBNS",5.635,2023-11-18,2023-11-18
"21",1919-09-01,"AMBNS",5.728,2023-11-18,2023-11-18
"22",1919-10-01,"AMBNS",5.853,2023-11-18,2023-11-18
"23",1919-11-01,"AMBNS",5.982,2023-11-18,2023-11-18
"24",1919-12-01,"AMBNS",6.086,2023-11-18,2023-11-18
"25",1920-01-01,"AMBNS",6.043,2023-11-18,2023-11-18
"26",1920-02-01,"AMBNS",6.069,2023-11-18,2023-11-18
"27",1920-03-01,"AMBNS",6.186,2023-11-18,2023-11-18
"28",1920-04-01,"AMBNS",6.157,2023-11-18,2023-11-18
"29",1920-05-01,"AMBNS",6.179,2023-11-18,2023-11-18
"30",1920-06-01,"AMBNS",6.209,2023-11-18,2023-11-18
"31",1920-07-01,"AMBNS",6.224,2023-11-18,2023-11-18
"32",1920-08-01,"AMBNS",6.223,2023-11-18,2023-11-18
"33",1920-09-01,"AMBNS",6.312,2023-11-18,2023-11-18
"34",1920-10-01,"AMBNS",6.375,2023-11-18,2023-11-18
"35",1920-11-01,"AMBNS",6.336,2023-11-18,2023-11-18
"36",1920-12-01,"AMBNS",6.311,2023-11-18,2023-11-18
"37",1921-01-01,"AMBNS",6.097,2023-11-18,2023-11-18
"38",1921-02-01,"AMBNS",5.935,2023-11-18,2023-11-18
"39",1921-03-01,"AMBNS",5.852,2023-11-18,2023-11-18
"40",1921-04-01,"AMBNS",5.715,2023-11-18,2023-11-18
"41",1921-05-01,"AMBNS",5.676,2023-11-18,2023-11-18
"42",1921-06-01,"AMBNS",5.589,2023-11-18,2023-11-18
"43",1921-07-01,"AMBNS",5.497,2023-11-18,2023-11-18
"44",1921-08-01,"AMBNS",5.405,2023-11-18,2023-11-18
"45",1921-09-01,"AMBNS",5.395,2023-11-18,2023-11-18
"46",1921-10-01,"AMBNS",5.388,2023-11-18,2023-11-18
"47",1921-11-01,"AMBNS",5.355,2023-11-18,2023-11-18
"48",1921-12-01,"AMBNS",5.403,2023-11-18,2023-11-18
"49",1922-01-01,"AMBNS",5.264,2023-11-18,2023-11-18
"50",1922-02-01,"AMBNS",5.181,2023-11-18,2023-11-18
"51",1922-03-01,"AMBNS",5.229,2023-11-18,2023-11-18
"52",1922-04-01,"AMBNS",5.247,2023-11-18,2023-11-18
"53",1922-05-01,"AMBNS",5.263,2023-11-18,2023-11-18
"54",1922-06-01,"AMBNS",5.277,2023-11-18,2023-11-18
"55",1922-07-01,"AMBNS",5.288,2023-11-18,2023-11-18
"56",1922-08-01,"AMBNS",5.281,2023-11-18,2023-11-18
"57",1922-09-01,"AMBNS",5.384,2023-11-18,2023-11-18
"58",1922-10-01,"AMBNS",5.487,2023-11-18,2023-11-18
"59",1922-11-01,"AMBNS",5.502,2023-11-18,2023-11-18
"60",1922-12-01,"AMBNS",5.653,2023-11-18,2023-11-18
