"","date","series_id","value","realtime_start","realtime_end"
"1",1986-12-01,"SPASTT01EZM661N",27.6726081741988,2023-11-17,2023-11-17
"2",1987-01-01,"SPASTT01EZM661N",27.3154580486152,2023-11-17,2023-11-17
"3",1987-02-01,"SPASTT01EZM661N",26.3567697605595,2023-11-17,2023-11-17
"4",1987-03-01,"SPASTT01EZM661N",26.7918175202306,2023-11-17,2023-11-17
"5",1987-04-01,"SPASTT01EZM661N",27.693661588817,2023-11-17,2023-11-17
"6",1987-05-01,"SPASTT01EZM661N",27.0062535659221,2023-11-17,2023-11-17
"7",1987-06-01,"SPASTT01EZM661N",27.0121765932347,2023-11-17,2023-11-17
"8",1987-07-01,"SPASTT01EZM661N",28.2691777308209,2023-11-17,2023-11-17
"9",1987-08-01,"SPASTT01EZM661N",28.875123074753,2023-11-17,2023-11-17
"10",1987-09-01,"SPASTT01EZM661N",28.5970495744754,2023-11-17,2023-11-17
"11",1987-10-01,"SPASTT01EZM661N",26.2673909977003,2023-11-17,2023-11-17
"12",1987-11-01,"SPASTT01EZM661N",20.7890118018425,2023-11-17,2023-11-17
"13",1987-12-01,"SPASTT01EZM661N",20.1758802257207,2023-11-17,2023-11-17
"14",1988-01-01,"SPASTT01EZM661N",19.8911257752043,2023-11-17,2023-11-17
"15",1988-02-01,"SPASTT01EZM661N",20.5929062624785,2023-11-17,2023-11-17
"16",1988-03-01,"SPASTT01EZM661N",21.9021479395374,2023-11-17,2023-11-17
"17",1988-04-01,"SPASTT01EZM661N",21.8952704907621,2023-11-17,2023-11-17
"18",1988-05-01,"SPASTT01EZM661N",21.5570403671154,2023-11-17,2023-11-17
"19",1988-06-01,"SPASTT01EZM661N",23.0205614664967,2023-11-17,2023-11-17
"20",1988-07-01,"SPASTT01EZM661N",23.6524165460189,2023-11-17,2023-11-17
"21",1988-08-01,"SPASTT01EZM661N",23.6330474045701,2023-11-17,2023-11-17
"22",1988-09-01,"SPASTT01EZM661N",23.8970291526632,2023-11-17,2023-11-17
"23",1988-10-01,"SPASTT01EZM661N",25.1766837643786,2023-11-17,2023-11-17
"24",1988-11-01,"SPASTT01EZM661N",25.2760839525961,2023-11-17,2023-11-17
"25",1988-12-01,"SPASTT01EZM661N",25.4580415973366,2023-11-17,2023-11-17
"26",1989-01-01,"SPASTT01EZM661N",26.745359651973,2023-11-17,2023-11-17
"27",1989-02-01,"SPASTT01EZM661N",26.6503947164351,2023-11-17,2023-11-17
"28",1989-03-01,"SPASTT01EZM661N",26.6824239778743,2023-11-17,2023-11-17
"29",1989-04-01,"SPASTT01EZM661N",27.7773138229001,2023-11-17,2023-11-17
"30",1989-05-01,"SPASTT01EZM661N",27.959411823738,2023-11-17,2023-11-17
"31",1989-06-01,"SPASTT01EZM661N",29.1116511701839,2023-11-17,2023-11-17
"32",1989-07-01,"SPASTT01EZM661N",29.8577561130344,2023-11-17,2023-11-17
"33",1989-08-01,"SPASTT01EZM661N",31.2795072378131,2023-11-17,2023-11-17
"34",1989-09-01,"SPASTT01EZM661N",32.366116073089,2023-11-17,2023-11-17
"35",1989-10-01,"SPASTT01EZM661N",31.4028802474759,2023-11-17,2023-11-17
"36",1989-11-01,"SPASTT01EZM661N",30.5215843115569,2023-11-17,2023-11-17
"37",1989-12-01,"SPASTT01EZM661N",32.4584703852143,2023-11-17,2023-11-17
"38",1990-01-01,"SPASTT01EZM661N",33.1338077837281,2023-11-17,2023-11-17
"39",1990-02-01,"SPASTT01EZM661N",32.4544000583881,2023-11-17,2023-11-17
"40",1990-03-01,"SPASTT01EZM661N",32.9361021848532,2023-11-17,2023-11-17
"41",1990-04-01,"SPASTT01EZM661N",33.769817403735,2023-11-17,2023-11-17
"42",1990-05-01,"SPASTT01EZM661N",33.80263265932,2023-11-17,2023-11-17
"43",1990-06-01,"SPASTT01EZM661N",33.6759753169767,2023-11-17,2023-11-17
"44",1990-07-01,"SPASTT01EZM661N",33.8921798494962,2023-11-17,2023-11-17
"45",1990-08-01,"SPASTT01EZM661N",29.8450679218245,2023-11-17,2023-11-17
"46",1990-09-01,"SPASTT01EZM661N",27.2337146574574,2023-11-17,2023-11-17
"47",1990-10-01,"SPASTT01EZM661N",26.4969012882584,2023-11-17,2023-11-17
"48",1990-11-01,"SPASTT01EZM661N",26.0603096115154,2023-11-17,2023-11-17
"49",1990-12-01,"SPASTT01EZM661N",26.3765318990812,2023-11-17,2023-11-17
"50",1991-01-01,"SPASTT01EZM661N",25.125818714661,2023-11-17,2023-11-17
"51",1991-02-01,"SPASTT01EZM661N",27.3895099256323,2023-11-17,2023-11-17
"52",1991-03-01,"SPASTT01EZM661N",29.1249569282226,2023-11-17,2023-11-17
"53",1991-04-01,"SPASTT01EZM661N",29.7819076779698,2023-11-17,2023-11-17
"54",1991-05-01,"SPASTT01EZM661N",29.9904487675682,2023-11-17,2023-11-17
"55",1991-06-01,"SPASTT01EZM661N",30.3072324795238,2023-11-17,2023-11-17
"56",1991-07-01,"SPASTT01EZM661N",29.1567335486864,2023-11-17,2023-11-17
"57",1991-08-01,"SPASTT01EZM661N",29.0987664804375,2023-11-17,2023-11-17
"58",1991-09-01,"SPASTT01EZM661N",29.4307928645767,2023-11-17,2023-11-17
"59",1991-10-01,"SPASTT01EZM661N",28.756999383135,2023-11-17,2023-11-17
